Drug_Index,Protein_Index,Kd (nM)
D408,P123,0.045
D458,P11,0.045
D459,P129,0.045
D460,P136,0.046
D32,P90,0.046
D379,P137,0.046
D461,P42,0.046
D462,P42,0.046
D227,P78,0.046
D227,P78,0.046
D463,P79,0.046
D464,P138,0.046
D378,P40,0.047
D171,P139,0.047
D465,P42,0.047
D466,P42,0.047
D331,P78,0.047
D227,P78,0.047
D69,P30,0.047
D180,P44,0.047
D467,P91,0.048
D467,P91,0.048
D468,P42,0.048
D469,P42,0.048
D470,P140,0.048
D471,P43,0.048
D315,P99,0.048
D230,P16,0.048
D96,P16,0.048
D472,P50,0.049
D473,P42,0.049
D474,P42,0.049
D475,P42,0.049
D476,P89,0.049
D477,P141,0.049
D478,P80,0.05
D479,P35,0.05
D480,P35,0.05
D481,P42,0.05
D482,P42,0.05
D483,P42,0.05
D484,P142,0.05
D485,P143,0.05
D265,P144,0.05
D265,P127,0.05
D21,P11,0.05
D486,P25,0.05
D65,P48,0.05
D333,P106,0.05
D333,P106,0.05
D487,P35,0.05
D488,P102,0.05
D489,P105,0.05
D490,P105,0.05
D429,P38,0.05
D491,P11,0.05
D492,P30,0.05
D90,P44,0.05
D131,P30,0.05
D166,P30,0.05
D493,P30,0.05
D353,P11,0.05
D428,P11,0.05
D493,P11,0.05
D166,P31,0.05
D147,P44,0.05
D75,P44,0.05
D115,P32,0.05
D74,P44,0.05
D131,P16,0.05
D273,P16,0.05
D117,P31,0.05
D494,P35,0.05
D495,P35,0.05
D496,P145,0.05
D497,P146,0.0501
D498,P52,0.0501
D499,P52,0.0501
D500,P52,0.0501
D501,P147,0.0501
D267,P148,0.0501
D502,P147,0.0501
D503,P147,0.0501
D504,P149,0.0501
D505,P150,0.050119
D506,P150,0.050119
D467,P73,0.051
D467,P73,0.051
D112,P151,0.051
D507,P42,0.051
D508,P42,0.051
D509,P152,0.051
D510,P152,0.051
D196,P30,0.051
D122,P11,0.051
D511,P31,0.051
D512,P57,0.052
D513,P91,0.052
D140,P50,0.052
D514,P42,0.052
D515,P42,0.052
D188,P16,0.052
D516,P153,0.052
D199,P153,0.052
D203,P153,0.052
D206,P153,0.052
D517,P42,0.053
D518,P42,0.053
D519,P42,0.053
D520,P138,0.053
D520,P138,0.053
D521,P42,0.054
D522,P130,0.054
D523,P72,0.054954
D523,P72,0.054954
D524,P42,0.055
D525,P42,0.055
D85,P16,0.055
D57,P44,0.055
D526,P31,0.055
D527,P31,0.055
D305,P44,0.055
D528,P89,0.055
D235,P68,0.056
D529,P42,0.056
D530,P42,0.056
D531,P93,0.056
D296,P55,0.056
D532,P82,0.056
D533,P135,0.057
D534,P135,0.057
D535,P42,0.057
D536,P42,0.057
D331,P78,0.057
D331,P78,0.057
D49,P48,0.057
D537,P154,0.058
D537,P154,0.058
D538,P35,0.058
D227,P78,0.058
D296,P55,0.058
D537,P154,0.058
D539,P155,0.058
D224,P50,0.059
D540,P42,0.059
D541,P42,0.059
D542,P42,0.059
D492,P11,0.059
D402,P31,0.059
D543,P30,0.059
D543,P30,0.059
D544,P109,0.06
D545,P35,0.06
D546,P35,0.06
D547,P35,0.06
D548,P89,0.06
D154,P65,0.06
D549,P42,0.06
D537,P154,0.06
D550,P59,0.06
D551,P156,0.06
D349,P31,0.06
D552,P16,0.06
D351,P16,0.06
D553,P34,0.06
D491,P30,0.06
D197,P142,0.06
D305,P16,0.06
D353,P30,0.06
D276,P30,0.06
D273,P44,0.06
D52,P44,0.06
D132,P38,0.06
D62,P38,0.06
D91,P32,0.06
D349,P31,0.06
D552,P16,0.06
D429,P16,0.06
D554,P16,0.06
D107,P44,0.06
D272,P44,0.06
D555,P11,0.06
D148,P44,0.06
D73,P44,0.06
D130,P38,0.06
D275,P11,0.06
D51,P31,0.06
D116,P32,0.06
D351,P16,0.06
D273,P30,0.06
D556,P35,0.06
D557,P117,0.06
D548,P89,0.06
D112,P122,0.061
D558,P89,0.061
D559,P58,0.062
D307,P50,0.062
D560,P42,0.062
D561,P42,0.062
D562,P42,0.062
D331,P78,0.062
D49,P38,0.062
D179,P31,0.062
D47,P90,0.063
D563,P35,0.063
D178,P48,0.063
D564,P31,0.063
D565,P31,0.063
D566,P89,0.063
D567,P100,0.063
D568,P157,0.063096
D569,P52,0.0631
D570,P158,0.0631
D571,P159,0.0631
D571,P159,0.0631
D571,P159,0.0631
D572,P27,0.0634
D573,P42,0.064
D227,P78,0.064
D574,P160,0.064
D554,P16,0.064
D197,P142,0.064
D575,P30,0.064
D576,P161,0.064
D577,P73,0.065
D577,P73,0.065
D193,P65,0.065
D578,P42,0.065
D579,P162,0.065
D564,P11,0.065
D565,P11,0.065
D580,P100,0.065
D581,P135,0.066
D582,P42,0.066
D583,P42,0.066
D584,P42,0.066
D585,P42,0.066
D146,P31,0.066
D433,P44,0.066
D188,P44,0.066
D586,P27,0.0667
D587,P163,0.067
D588,P42,0.067
D589,P42,0.067
D590,P105,0.067
D49,P46,0.067
D464,P164,0.067
D591,P42,0.068
D592,P42,0.068
D593,P42,0.068
D94,P30,0.068
D379,P81,0.069
D239,P50,0.069
D351,P44,0.069
D594,P76,0.06934
D227,P165,0.07
D595,P35,0.07
D596,P35,0.07
D597,P35,0.07
D598,P42,0.07
D599,P42,0.07
D600,P166,0.07
D600,P166,0.07
D601,P93,0.07
D601,P93,0.07
D579,P167,0.07
D602,P34,0.07
D45,P44,0.07
D271,P48,0.07
D147,P32,0.07
D165,P16,0.07
D129,P44,0.07
D351,P44,0.07
D105,P32,0.07
D272,P32,0.07
D493,P16,0.07
D75,P16,0.07
D603,P41,0.07
D604,P35,0.07
D605,P35,0.07
D606,P117,0.07
D607,P117,0.07
D608,P168,0.07
D609,P169,0.07
D516,P26,0.07
D199,P26,0.07
D203,P26,0.07
D206,P26,0.07
D307,P68,0.071
D610,P42,0.071
D81,P11,0.071
D146,P30,0.071
D611,P170,0.071
D612,P171,0.0718
D613,P42,0.072
D614,P162,0.073
D137,P31,0.073
D57,P46,0.073
D615,P136,0.074
D235,P65,0.074
D616,P42,0.074
D617,P42,0.074
D315,P99,0.074
D140,P65,0.075
D124,P65,0.075
D124,P139,0.075
D618,P42,0.075
D619,P172,0.075
D620,P172,0.075
D621,P173,0.075
D621,P173,0.075
D621,P173,0.075
D429,P16,0.075
D622,P164,0.075
D623,P174,0.075
D516,P175,0.075
D199,P175,0.075
D203,P175,0.075
D206,P175,0.075
D624,P121,0.0759
D625,P42,0.076
D81,P48,0.076
D626,P12,0.077
D112,P139,0.077
D451,P42,0.077
D627,P176,0.077
D26,P16,0.077
D628,P35,0.077
D127,P32,0.077
D248,P30,0.077
D629,P177,0.077625
D630,P35,0.078
D516,P178,0.078
D199,P178,0.078
D203,P178,0.078
D206,P178,0.078
D631,P135,0.079
D632,P41,0.079
D633,P42,0.079
D96,P44,0.079
D634,P129,0.079
D635,P52,0.0794
D636,P52,0.0794
D637,P52,0.0794
D501,P147,0.0794
D571,P159,0.0794
D621,P173,0.08
D638,P135,0.08
D639,P35,0.08
D640,P35,0.08
D184,P65,0.08
D641,P42,0.08
D642,P179,0.08
D643,P93,0.08
D644,P180,0.08
D645,P93,0.08
D646,P181,0.08
D98,P11,0.08
D647,P182,0.08
D648,P183,0.08
D649,P183,0.08
D270,P184,0.08
D349,P30,0.08
D116,P30,0.08
D350,P30,0.08
D91,P44,0.08
D271,P44,0.08
D116,P44,0.08
D164,P44,0.08
D650,P117,0.08
D651,P117,0.08
D516,P185,0.08
D199,P185,0.08
D203,P185,0.08
D206,P185,0.08
D537,P163,0.081
D537,P163,0.081
D652,P41,0.081
D653,P41,0.081
D654,P42,0.081
D537,P163,0.081
D349,P30,0.081
D114,P32,0.081
D68,P32,0.081
D564,P44,0.081
D655,P147,0.0813
D656,P73,0.082
D657,P91,0.082
D656,P73,0.082
D657,P91,0.082
D658,P42,0.082
D659,P42,0.082
D660,P35,0.083
D661,P42,0.083
D662,P42,0.083
D663,P44,0.083
D315,P99,0.083
D664,P129,0.083
D665,P121,0.083176
D345,P186,0.0835
D172,P65,0.085
D666,P42,0.085
D46,P56,0.086
D667,P73,0.086
D667,P73,0.086
D668,P42,0.086
D669,P42,0.086
D670,P42,0.086
D265,P187,0.086
D331,P78,0.086
D265,P187,0.086
D671,P169,0.086
D672,P164,0.086
D673,P42,0.087
D674,P42,0.087
D537,P163,0.087
D675,P188,0.087
D676,P189,0.087096
D677,P73,0.088
D677,P73,0.088
D678,P41,0.089
D679,P44,0.089
D680,P162,0.089
D137,P38,0.089
D96,P31,0.089
D539,P155,0.089
D681,P190,0.0894
D682,P25,0.09
D227,P191,0.09
D253,P187,0.09
D683,P135,0.09
D684,P42,0.09
D295,P93,0.09
D685,P44,0.09
D270,P131,0.09
D55,P48,0.09
D428,P44,0.09
D135,P31,0.09
D129,P16,0.09
D349,P38,0.09
D162,P11,0.09
D686,P30,0.09
D428,P16,0.09
D163,P30,0.09
D88,P44,0.09
D687,P89,0.09
D688,P117,0.09
D516,P182,0.09
D199,P182,0.09
D203,P182,0.09
D206,P182,0.09
D532,P164,0.09
D689,P1,0.091
D690,P1,0.091
D141,P139,0.091
D691,P147,0.0912
D692,P15,0.0915
D693,P76,0.09155
D694,P93,0.092
D695,P192,0.092
D696,P193,0.092
D697,P30,0.092
D178,P46,0.092
D698,P72,0.093
D390,P50,0.093
D699,P42,0.093
D700,P42,0.093
D619,P172,0.093
D227,P194,0.093
D701,P195,0.093
D227,P194,0.093
D527,P11,0.093
D434,P11,0.093
D376,P11,0.093
D402,P11,0.093
D433,P11,0.093
D434,P38,0.093
D702,P43,0.093325
D703,P76,0.09348
D704,P42,0.094
D705,P196,0.094
D702,P43,0.094
D706,P89,0.095
D707,P89,0.095
D708,P42,0.095
D709,P42,0.095
D710,P11,0.095
D539,P197,0.095
D711,P136,0.096
D712,P1,0.096
D294,P92,0.096
D713,P198,0.096
D713,P198,0.096
D682,P25,0.097
D714,P172,0.097
D715,P72,0.097
D715,P71,0.097
D716,P199,0.097
D717,P107,0.097
D629,P177,0.097724
D513,P137,0.098
D380,P50,0.098
D460,P25,0.098
D460,P25,0.098
D609,P169,0.098
D142,P151,0.099
D718,P42,0.099
D349,P38,0.099
D719,P44,0.1
D720,P44,0.1
D460,P25,0.1
D460,P25,0.1
D721,P136,0.1
D722,P59,0.1
D723,P57,0.1
D724,P57,0.1
D725,P57,0.1
D726,P83,0.1
D727,P200,0.1
D728,P35,0.1
D729,P201,0.1
D730,P201,0.1
D731,P201,0.1
D732,P201,0.1
D733,P201,0.1
D734,P201,0.1
D735,P201,0.1
D736,P201,0.1
D737,P201,0.1
D738,P201,0.1
D739,P201,0.1
D729,P201,0.1
D740,P201,0.1
D741,P201,0.1
D742,P201,0.1
D743,P201,0.1
D744,P201,0.1
D745,P201,0.1
D746,P201,0.1
D747,P201,0.1
D748,P201,0.1
D749,P201,0.1
D750,P201,0.1
D751,P201,0.1
D752,P201,0.1
D753,P201,0.1
D754,P202,0.1
D755,P202,0.1
D756,P202,0.1
D757,P202,0.1
D758,P202,0.1
D759,P202,0.1
D760,P202,0.1
D761,P202,0.1
D762,P202,0.1
D763,P202,0.1
D764,P202,0.1
D765,P202,0.1
D766,P202,0.1
